Product,Brand Name,L2 Product Type,L1 Product Type,L2 Flavour,L1 Flavour
Doritos Corn Chip Southern Chicken 150g,Doritos,Corn Chips,Chips,Southern Chicken,Chicken
Twisties Chicken270g,Twisties,Corn Puffs,Others,Chicken,Chicken
Twisties Cheese Burger 250g,Twisties,Corn Puffs,Others,Cheese Burger,Cheese
Grain Waves Sweet Chilli 210g,Grain Waves,"Wholegrain Chips (Corn, Wheat & Oats)",Chips,Sweet Chili,Chili
Pringles SourCream Onion 134g,Pringles,Potato Chips,Chips,Sour Cream & Onion,Sour Cream
Doritos Corn Chips Nacho Cheese 170g,Doritos,Corn Chips,Chips,Nacho Cheese,Cheese
Cobs Popd Sour Crm &Chives Chips 110g,Cobs Popd,"Popped Chips (Potato, Rice & Corn)",Chips,Sour Cream & Chives,Sour Cream
Kettle Original 175g,Kettle,Potato Chips,Chips,Original,Original
Pringles Original Crisps 134g,Pringles,Potato Chips,Chips,Original,Original
Cheezels Cheese 330g,Cheezels,Cheese Rings,Others,Others,Others
Kettle Honey Soy Chicken 175g,Kettle,Potato Chips,Chips,Honey Soy Chicken,Chicken
Kettle Tortilla ChpsBtroot&Ricotta 150g,Kettle,Tortilla Chips,Chips,Beetroot & Ricotta,Beetroot
Tostitos Smoked Chipotle 175g,Tostitos,Corn Chips,Chips,Smoked Chipotle,Chipotle
Infzns Crn Crnchers Tangy Gcamole 110g,Infuzions,Corn Chips,Chips,Tangy Guacamole,Guacamole
Smiths Crinkle Original 330g,Smiths,Potato Chips,Chips,Original,Original
Kettle Tortilla ChpsFeta&Garlic 150g,Kettle,Tortilla Chips,Chips,Feta & Garlic,Garlic
Infuzions SourCream&Herbs Veg Strws 110g,Infuzions,Veggie Straws,Others,Sour Cream & Herbs,Sour Cream
Kettle Sensations Siracha Lime 150g,Kettle,Potato Chips,Chips,Siracha Lime,Lime
Old El Paso Salsa Dip Chnky Tom Ht300g,Old El Paso,Salsa,Others,Others,Others
Doritos Corn Chips Original 170g,Doritos,Corn Chips,Chips,Original,Original
Doritos Mexicana 170g,Doritos,Corn Chips,Chips,Mexicana,Others
Twisties Cheese 270g,Twisties,Corn Puffs,Others,Cheese,Cheese
Thins Chips Seasonedchicken 175g,Thins,Potato Chips,Chips,Seasoned Chicken,Chicken
Old El Paso Salsa Dip Tomato Med 300g,Old El Paso,Salsa,Others,Others,Others
Pringles Mystery Flavour 134g,Pringles,Potato Chips,Chips,Mystery Flavour,Others
Grain Waves Sour Cream&Chives 210G,Grain Waves,"Wholegrain Chips (Corn, Wheat & Oats)",Chips,Sour Cream & Chives,Sour Cream
Pringles Chicken Salt Crips 134g,Pringles,Potato Chips,Chips,Chicken,Chicken Salt
Thins Chips Salt & Vinegar 175g,Thins,Potato Chips,Chips,Salt & Vinegar,Salt
Pringles Slt Vingar 134g,Pringles,Potato Chips,Chips,Salt & Vinegar,Salt
Old El Paso Salsa Dip Tomato Mild 300g,Old El Paso,Salsa,Others,Others,Others
Kettle Sensations BBQ&Maple 150g,Kettle,Potato Chips,Chips,BBQ & Maple,BBQ
Pringles Sthrn FriedChicken 134g,Pringles,Potato Chips,Chips,Southern Fried Chicken,Chicken
Tostitos Lightly Salted 175g,Tostitos,Corn Chips,Chips,Salt,Salt
Doritos Cheese Supreme 330g,Doritos,Corn Chips,Chips,Cheese Supreme,Cheese
Kettle Chilli 175g,Kettle,Potato Chips,Chips,Chili,Chili
